Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile
256,Nelson Agholor,WR85,245.3,Nelson Agholor,nelson agholor,WR,2017,244,0.31355932203389836
257,Blake Bortles,QB27,251.7,Blake Bortles,blake bortles,QB,2017,251,0.29378531073446323
258,Chris Godwin,WR86,229.0,Chris Godwin,chris godwin,WR,2017,225,0.36723163841807904
259,Mitchell Trubisky,QB28,230.0,Mitchell Trubisky,mitchell trubisky,QB,2017,227,0.3615819209039548
260,Harrison Butker,K18,179.0,Harrison Butker,harrison butker,K,2017,165,0.536723163841808
261,Dede Westbrook,WR87,232.5,Dede Westbrook,dede westbrook,WR,2017,231,0.3502824858757062
262,Tyler Higbee,TE31,233.0,Tyler Higbee,tyler higbee,TE,2017,232,0.34745762711864403
263,Brian Hoyer,QB29,258.7,Brian Hoyer,brian hoyer,QB,2017,260,0.268361581920904
264,Carlos Henderson,WR88,185.0,Carlos Henderson,carlos henderson,WR,2017,171,0.519774011299435
265,Alfred Morris,RB82,251.7,Alfred Morris,alfred morris,RB,2017,251,0.29378531073446323
266,Younghoe Koo,K19,190.0,Younghoe Koo,younghoe koo,K,2017,174,0.5112994350282486
267,Javorius Allen,RB83,253.0,Javorius Allen,javorius allen,RB,2017,253,0.288135593220339
268,Laquon Treadwell,WR89,238.0,Laquon Treadwell,laquon treadwell,WR,2017,237,0.33333333333333337
269,JuJu Smith-Schuster,WR90,238.0,JuJu Smith-Schuster,juju smith-schuster,WR,2017,237,0.33333333333333337
270,Benjamin Watson,TE32,239.5,Benjamin Watson,benjamin watson,TE,2017,239,0.327683615819209
271,C.J. Spiller,RB84,196.0,C.J. Spiller,cj spiller,RB,2017,182,0.4887005649717514
272,Zach Miller,TE33,259.0,Zach Miller,zach miller,TE,2017,261,0.2655367231638418
273,DeShone Kizer,QB30,264.0,DeShone Kizer,deshone kizer,QB,2017,267,0.24858757062146897
274,Tampa Bay Buccaneers,DST18,244.5,Tampa Bay Buccaneers,tampa bay buccaneers,DST,2017,242,0.3192090395480226
275,Trevor Siemian,QB31,257.7,Trevor Siemian,trevor siemian,QB,2017,256,0.2796610169491526
