Rank,Player,POS,CBS,AVG,Player_fixed,player_clean,POS_group,year
352,Terrance West,RB96,,329.0,Terrance West,terrance west,RB,2018
353,Tyler Higbee,TE45,,329.0,Tyler Higbee,tyler higbee,TE,2018
354,Miami Dolphins,DST30,,292.0,Miami Dolphins,miami dolphins,DST,2018
355,Mike Nugent ,K32,,292.0,Mike Nugent ,mike nugent,K,2018
356,Mark Walton,RB97,,330.5,Mark Walton,mark walton,RB,2018
357,Randy Bullock,K33,,331.0,Randy Bullock,randy bullock,K,2018
358,Taylor Gabriel,WR113,,331.5,Taylor Gabriel,taylor gabriel,WR,2018
359,Jeremy Maclin ,WR114,,331.5,Jeremy Maclin ,jeremy maclin,WR,2018
360,New York Jets,DST31,,298.0,New York Jets,new york jets,DST,2018
361,Tyler Boyd,WR115,,333.5,Tyler Boyd,tyler boyd,WR,2018
362,Jordan Akins,TE46,,334.5,Jordan Akins,jordan akins,TE,2018
363,Stevan Ridley,RB98,,301.0,Stevan Ridley,stevan ridley,RB,2018
364,Orleans Darkwa,RB99,,301.0,Orleans Darkwa,orleans darkwa,RB,2018
365,Jacquizz Rodgers,RB100,,335.0,Jacquizz Rodgers,jacquizz rodgers,RB,2018
366,Jonnu Smith,TE47,,303.0,Jonnu Smith,jonnu smith,TE,2018
367,DeAndre Washington,RB101,,336.5,DeAndre Washington,deandre washington,RB,2018
368,Wendell Smallwood,RB102,,307.0,Wendell Smallwood,wendell smallwood,RB,2018
369,Tyler Kroft ,TE48,,338.0,Tyler Kroft ,tyler kroft,TE,2018
371,Cody Latimer,WR116,,311.0,Cody Latimer,cody latimer,WR,2018
372,Marcus Murphy ,RB103,,340.5,Marcus Murphy ,marcus murphy,RB,2018
373,Teddy Bridgewater,QB41,,341.5,Teddy Bridgewater,teddy bridgewater,QB,2018
374,Marcedes Lewis,TE49,,315.0,Marcedes Lewis,marcedes lewis,TE,2018
375,Phillip Lindsay,RB104,,317.0,Phillip Lindsay,phillip lindsay,RB,2018
376,Brandon LaFell ,WR117,,318.0,Brandon LaFell ,brandon lafell,WR,2018
377,Malcolm Mitchell,WR118,,319.0,Malcolm Mitchell,malcolm mitchell,WR,2018
378,Akeem Hunt,RB105,,323.0,Akeem Hunt,akeem hunt,RB,2018
379,Equanimeous St. Brown,WR119,,324.0,Equanimeous St. Brown,equanimeous st brown,WR,2018
380,Jake Kumerow,WR120,,327.0,Jake Kumerow,jake kumerow,WR,2018
381,Javon Wims,WR121,,329.0,Javon Wims,javon wims,WR,2018
382,C.J. Ham,RB106,,331.0,C.J. Ham,cj ham,RB,2018
383,Coby Fleener,TE50,,332.0,Coby Fleener,coby fleener,TE,2018
384,Bruce Ellington,WR122,,333.0,Bruce Ellington,bruce ellington,WR,2018
385,Kendall Wright,WR123,,335.0,Kendall Wright,kendall wright,WR,2018
386,Kyle Juszczyk,RB107,,352.0,Kyle Juszczyk,kyle juszczyk,RB,2018
387,Fitzgerald Toussaint,RB108,,338.0,Fitzgerald Toussaint,fitzgerald toussaint,RB,2018
388,Shane Vereen,RB109,,339.0,Shane Vereen,shane vereen,RB,2018
389,Troymaine Pope,RB110,,339.0,Troymaine Pope,troymaine pope,RB,2018
390,Zane Gonzalez,K34,,340.0,Zane Gonzalez,zane gonzalez,K,2018
392,David Moore,WR124,,344.0,David Moore,david moore,WR,2018
393,Johnny Manziel,QB42,,345.0,Johnny Manziel,johnny manziel,QB,2018
394,Bo Scarbrough,RB112,,345.0,Bo Scarbrough,bo scarbrough,RB,2018
395,Robert Turbin ,RB113,,346.0,Robert Turbin ,robert turbin,RB,2018
396,Eric Tomlinson ,TE51,,346.0,Eric Tomlinson ,eric tomlinson,TE,2018
397,Charcandrick West,RB114,,347.0,Charcandrick West,charcandrick west,RB,2018
398,Kerwynn Williams,RB115,,349.0,Kerwynn Williams,kerwynn williams,RB,2018
399,Kapri Bibbs,RB116,,350.0,Kapri Bibbs,kapri bibbs,RB,2018
400,Deonte Thompson,WR125,,352.0,Deonte Thompson,deonte thompson,WR,2018
401,Aaron Hernandez,TE52,,353.0,Aaron Hernandez,aaron hernandez,TE,2018
402,Derek Carrier,TE53,,354.0,Derek Carrier,derek carrier,TE,2018
