Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile,adp_rank_pos,adp_percentile_pos
118,Indianapolis Colts,DST4,123.5,Indianapolis Colts,indianapolis colts,DST,2022,108,0.6385135135135135,4,0.9
119,Kirk Cousins,QB15,125.3,Kirk Cousins,kirk cousins,QB,2022,109,0.6351351351351351,15,0.6216216216216216
120,George Pickens,WR47,127.8,George Pickens,george pickens,WR,2022,110,0.6317567567567568,45,0.5686274509803921
121,Los Angeles Rams,DST5,129.0,Los Angeles Rams,los angeles rams,DST,2022,111,0.6283783783783784,5,0.8666666666666667
122,Harrison Butker,K2,129.0,Harrison Butker,harrison butker,K,2022,111,0.6283783783783784,2,0.96
123,Evan McPherson,K3,129.0,Evan McPherson,evan mcpherson,K,2022,111,0.6283783783783784,2,0.96
124,Mike Gesicki,TE13,129.0,Mike Gesicki,mike gesicki,TE,2022,111,0.6283783783783784,13,0.7142857142857143
125,Hunter Henry,TE14,130.3,Hunter Henry,hunter henry,TE,2022,112,0.625,14,0.6904761904761905
126,Treylon Burks,WR48,131.8,Treylon Burks,treylon burks,WR,2022,113,0.6216216216216216,46,0.5588235294117647
127,Daniel Carlson,K4,132.3,Daniel Carlson,daniel carlson,K,2022,114,0.6182432432432432,3,0.92
128,Darrell Henderson Jr.,RB42,132.5,Darrell Henderson Jr.,darrell henderson jr,RB,2022,115,0.6148648648648649,40,0.5617977528089888
129,Tyler Bass,K5,132.8,Tyler Bass,tyler bass,K,2022,116,0.6114864864864865,4,0.88
130,Alexander Mattison,RB43,135.0,Alexander Mattison,alexander mattison,RB,2022,117,0.6081081081081081,41,0.550561797752809
131,New Orleans Saints,DST6,135.3,New Orleans Saints,new orleans saints,DST,2022,118,0.6047297297297297,6,0.8333333333333334
132,Matt Gay,K6,135.8,Matt Gay,matt gay,K,2022,119,0.6013513513513513,5,0.84
133,Tyler Boyd,WR49,137.8,Tyler Boyd,tyler boyd,WR,2022,120,0.597972972972973,47,0.5490196078431373
134,Garrett Wilson,WR50,138.0,Garrett Wilson,garrett wilson,WR,2022,121,0.5945945945945945,48,0.5392156862745099
135,Dallas Cowboys,DST7,138.8,Dallas Cowboys,dallas cowboys,DST,2022,122,0.5912162162162162,7,0.8
136,Michael Gallup,WR51,139.3,Michael Gallup,michael gallup,WR,2022,123,0.5878378378378378,49,0.5294117647058824
137,Nyheim Miller-Hines,RB44,140.5,Nyheim Miller-Hines,nyheim miller-hines,RB,2022,124,0.5844594594594594,42,0.5393258426966292
138,Tua Tagovailoa,QB16,140.5,Tua Tagovailoa,tua tagovailoa,QB,2022,124,0.5844594594594594,16,0.5945945945945945
139,Green Bay Packers,DST8,142.5,Green Bay Packers,green bay packers,DST,2022,125,0.5810810810810811,8,0.7666666666666666
140,Skyy Moore,WR52,142.8,Skyy Moore,skyy moore,WR,2022,126,0.5777027027027026,50,0.5196078431372548
141,Julio Jones,WR53,143.8,Julio Jones,julio jones,WR,2022,127,0.5743243243243243,51,0.5098039215686274
142,Raheem Mostert,RB45,144.8,Raheem Mostert,raheem mostert,RB,2022,128,0.5709459459459459,43,0.5280898876404494
143,Russell Gage Jr.,WR54,145.5,Russell Gage Jr.,russell gage jr,WR,2022,129,0.5675675675675675,52,0.5
144,Kenneth Gainwell,RB46,146.8,Kenneth Gainwell,kenneth gainwell,RB,2022,130,0.5641891891891893,44,0.5168539325842696
145,DJ Chark Jr.,WR55,147.5,DJ Chark Jr.,dj chark jr,WR,2022,131,0.5608108108108107,53,0.4901960784313726
