,team,season,player,offense_snaps,team_snaps,offense_snap_percentage
186,ARI,2023,Dan Chisena,1.0,1127.0,0.0008873114463176575
187,ARI,2023,Elijah Higgins,192.0,1127.0,0.17036379769299023
188,ARI,2023,Emari Demercado,292.0,1127.0,0.259094942324756
189,ARI,2023,Geoff Swaim,337.0,1127.0,0.2990239574090506
190,ARI,2023,Greg Dortch,397.0,1127.0,0.35226264418811004
191,ARI,2023,James Conner,533.0,1127.0,0.47293700088731144
192,ARI,2023,Joshua Dobbs,535.0,1127.0,0.47471162377994675
193,ARI,2023,Keaontay Ingram,119.0,1127.0,0.10559006211180125
194,ARI,2023,Kyler Murray,538.0,1127.0,0.47737355811889975
195,ARI,2023,Marquise Brown,784.0,1127.0,0.6956521739130435
196,ARI,2023,Michael Carter,82.0,1127.0,0.07275953859804792
197,ARI,2023,Michael Wilson,709.0,1127.0,0.6291038154392191
198,ARI,2023,Rondale Moore,757.0,1127.0,0.6716947648624667
199,ARI,2023,Tony Jones,44.0,1127.0,0.03904170363797693
200,ARI,2023,Travis Vokolek,40.0,1127.0,0.0354924578527063
201,ARI,2023,Trey McBride,786.0,1127.0,0.6974267968056788
202,ARI,2023,Zach Ertz,295.0,1127.0,0.26175687666370895
203,ARI,2023,Zach Pascal,202.0,1127.0,0.17923691215616683
204,ARI,2024,Chris Moore,27.0,1066.0,0.025328330206378986
205,ARI,2024,Clayton Tune,31.0,1066.0,0.029080675422138838
206,ARI,2024,DeeJay Dallas,54.0,1066.0,0.05065666041275797
207,ARI,2024,Elijah Higgins,411.0,1066.0,0.38555347091932457
208,ARI,2024,Emari Demercado,164.0,1066.0,0.15384615384615385
209,ARI,2024,Greg Dortch,432.0,1066.0,0.4052532833020638
210,ARI,2024,James Conner,619.0,1066.0,0.5806754221388368
211,ARI,2024,Kyler Murray,1065.0,1066.0,0.99906191369606
212,ARI,2024,Marvin Harrison Jr.,865.0,1066.0,0.8114446529080676
213,ARI,2024,Michael Carter,132.0,1066.0,0.12382739212007504
214,ARI,2024,Michael Wilson,822.0,1066.0,0.7711069418386491
215,ARI,2024,Tip Reiman,450.0,1066.0,0.42213883677298314
216,ARI,2024,Tony Jones,5.0,1066.0,0.004690431519699813
