,season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name
9714,2022,REG,9,Dallas Goedert,TE,PHI,4.00375,3.9859108227907285,9.484444444444447,47.54901960784314,8,9,88.88888888888889,100.0,1,4.3862499999999995,5.062265613242314,-0.6760156132423143,00-0034351,Dallas,Goedert,D.Goedert
9715,2022,REG,9,Terrace Marshall,WR,CAR,3.5316666666666663,2.1611868167643116,11.728333333333333,36.86030066523492,3,6,50.0,53.0,1,2.9200000000000004,1.0480867842436414,1.871913215756359,00-0036955,Terrace,Marshall,T.Marshall
9716,2022,REG,9,Garrett Wilson,WR,NYJ,3.5299999999999994,3.0609419892258645,7.615555555555555,51.638664958939195,8,9,88.88888888888889,92.0,0,4.696250000000001,5.566450268376002,-0.8702002683760011,00-0037740,Garrett,Wilson,G.Wilson
9717,2022,REG,9,Jakobi Meyers,WR,NE,3.482,2.835110419548443,6.218333333333334,27.04603117071403,5,6,83.33333333333334,42.0,0,3.0799999999999974,4.106999626287563,-1.0269996262875658,00-0034960,Jakobi,Meyers,J.Meyers
9718,2022,REG,9,Josh Palmer,WR,LAC,3.3689999999999998,3.980059762758016,8.613,30.761812921890062,8,10,80.0,106.0,0,3.745000000000002,4.518499081169541,-0.7734990811695388,00-0036988,Josh,Palmer,J.Palmer
9719,2022,REG,9,Allen Robinson,WR,LAR,2.258,1.2798732493681053,7.795999999999998,16.33970489604292,3,5,60.0,24.0,0,1.1833333333333347,2.812105823086616,-1.6287724897532814,00-0031428,Allen,Robinson,Al.Robinson
9720,2022,REG,10,Treylon Burks,WR,TEN,9.996666666666664,3.963173281691777,2.9933333333333336,6.96772191185599,3,6,50.0,24.0,0,6.0666666666666655,3.830268435935068,2.2363982307315977,00-0037742,Treylon,Burks,T.Burks
9721,2022,REG,10,Kyle Pitts,TE,ATL,9.087142857142856,2.753034950658753,15.5175,35.88172384888863,2,8,25.0,28.0,0,1.6550000000000011,1.6901984745380219,-0.03519847453802072,00-0036970,Kyle,Pitts,K.Pitts
9722,2022,REG,10,Ben Skowronek,WR,LAR,8.88142857142857,3.3144963984470874,8.187142857142856,23.276877462328905,2,7,28.57142857142857,14.0,0,3.715,3.9170958741087816,-0.20209587410878171,00-0036862,Ben,Skowronek,B.Skowronek
9723,2022,REG,10,Deebo Samuel,WR,SF,8.581666666666665,3.786839623901136,6.775000000000001,21.684626053558098,2,6,33.33333333333333,24.0,0,12.515,4.862130620361313,7.6528693796386875,00-0035719,Tyshun,Samuel,D.Samuel
9724,2022,REG,10,Trent Sherfield,WR,MIA,8.36,1.8475646517387616,10.954,21.810289901242434,4,5,80.0,63.0,1,5.087499999999999,0.7286225420394743,4.358877457960524,00-0034487,Trent,Sherfield,T.Sherfield
9725,2022,REG,10,Drake London,WR,ATL,8.048333333333332,2.992159878613092,12.951666666666666,22.461485099864152,5,6,83.33333333333334,38.0,1,1.570000000000001,1.1511640693099707,0.4188359306900302,00-0037238,Drake,London,D.London
9726,2022,REG,10,Kendall Hinton,WR,DEN,8.014,4.654518472752867,7.947999999999999,10.370834311960122,4,5,80.0,62.0,0,9.56,4.56873916158321,4.991260838416791,00-0035864,Kendall,Hinton,K.Hinton
9727,2022,REG,10,Brandon Aiyuk,WR,SF,7.861428571428571,2.3300876864006344,10.067142857142857,37.59201963085459,6,7,85.71428571428571,84.0,0,3.8750000000000013,2.79876227716151,1.0762377228384912,00-0036261,Brandon,Aiyuk,B.Aiyuk
9728,2022,REG,10,Nico Collins,WR,HOU,7.7909999999999995,2.96515514962445,9.674000000000001,31.971709961002055,5,10,50.0,49.0,1,2.4079999999999986,2.5954121051279344,-0.18741210512793582,00-0036554,Nico,Collins,N.Collins
9729,2022,REG,10,Jaylen Waddle,WR,MIA,7.769999999999999,2.345933252075768,13.305999999999997,26.493309971328443,4,5,80.0,66.0,0,3.162500000000003,2.189171955095336,0.9733280449046671,00-0036613,Jaylen,Waddle,J.Waddle
9730,2022,REG,10,Brandin Cooks,WR,HOU,7.7200000000000015,2.6609342123221262,9.257142857142854,21.4158239143367,4,7,57.14285714285714,37.0,0,2.235000000000001,2.5008932053943056,-0.2658932053943044,00-0031236,Brandin,Cooks,B.Cooks
9731,2022,REG,10,Stefon Diggs,WR,BUF,7.583846153846154,3.895843398320756,8.228750000000002,34.802146387882956,12,16,75.0,128.0,0,3.7883333333333318,4.374429808106828,-0.586096474773496,00-0031588,Stefon,Diggs,S.Diggs
9732,2022,REG,10,DeVonta Smith,WR,PHI,7.558750000000001,3.2499758053784644,5.868750000000001,23.013577765795795,6,8,75.0,53.0,1,4.203333333333332,5.103765719929811,-0.9004323865964787,00-0036912,DeVonta,Smith,D.Smith
9733,2022,REG,10,Jarvis Landry,WR,NO,7.406666666666666,1.5646491837779086,9.549999999999999,22.352252779403162,3,6,50.0,37.0,0,1.6333333333333353,2.1346795193206467,-0.5013461859873114,00-0031382,Jarvis,Landry,J.Landry
9734,2022,REG,10,Robert Woods,WR,TEN,7.368571428571428,2.2919560460696395,8.085714285714287,21.95841092489137,2,7,28.57142857142857,10.0,0,0.4099999999999966,1.6319371535382743,-1.2219371535382777,00-0030431,Robert,Woods,R.Woods
9735,2022,REG,10,Tyreek Hill,WR,MIA,7.3066666666666675,1.9521189662585314,13.354999999999999,31.909047467346284,5,6,83.33333333333334,44.0,1,1.689999999999999,1.1642597754016522,0.5257402245983469,00-0033040,Tyreek,Hill,T.Hill
9736,2022,REG,10,Travis Kelce,TE,KC,7.287999999999999,3.670412606906809,6.57,18.138434233878918,6,7,85.71428571428571,81.0,1,6.78,5.857170230354616,0.922829769645384,00-0030506,Travis,Kelce,T.Kelce
