Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year
372,Markus Wheaton,PIT,WR,25,3,2,0,0,0,0,0,0,0,,0,9,4,51,12.75,1,0,0,1,1.0,,13,17.1,17.1,15.1,,147,,Markus Wheaton,markus wheaton,WR,WR,PIT,2016,377.0
373,Jarius Wright,MIN,WR,27,8,1,0,0,0,0,0,0,0,,0,14,11,67,6.09,1,0,0,1,,,13,23.7,23.7,18.2,,148,,Jarius Wright,jarius wright,WR,WR,MIN,2016,350.0
374,Jordan Cameron,MIA,TE,28,3,3,0,0,0,0,0,0,0,,0,11,8,60,7.5,1,0,0,1,,,12,20.0,20.0,16.0,,69,,Jordan Cameron,jordan cameron,TE,TE,MIA,2016,365.0
375,Mike Davis,SFO,WR,23,8,1,0,0,0,0,0,19,50,2.63,1,5,3,25,8.33,0,1,1,1,,,12,14.5,15.5,13.0,,152,,Mike Davis,mike davis,WR,WR,SFO,2016,392.0
376,Rhett Ellison,MIN,FB,28,15,6,0,0,0,0,0,1,1,1.0,1,14,9,57,6.33,0,0,0,1,,,12,20.8,20.8,16.3,,109,,Rhett Ellison,rhett ellison,FB,FB,MIN,2016,363.0
377,Brittan Golden,ARI,WR,28,12,1,0,0,0,0,0,0,0,,0,14,8,82,10.25,1,1,1,1,,,12,20.2,21.2,16.2,,151,,Brittan Golden,brittan golden,WR,WR,ARI,2016,364.0
378,Dominique Jones,MIA,TE,29,9,2,0,0,0,0,0,0,0,,0,10,7,61,8.71,1,0,0,1,,,12,19.1,19.1,15.6,,68,,Dominique Jones,dominique jones,TE,TE,MIA,2016,370.0
379,Jordan Todman,IND,RB,26,16,0,0,0,0,0,0,9,59,6.56,0,1,0,0,,0,0,0,1,,,12,11.9,11.9,11.9,,108,,Jordan Todman,jordan todman,RB,RB,IND,2016,413.0
380,Jamaal Charles,KAN,RB,30,3,0,0,0,0,0,0,12,40,3.33,1,3,2,14,7.0,0,0,0,1,,,11,13.4,13.4,12.4,,110,,Jamaal Charles,jamaal charles,RB,RB,KAN,2016,400.0
381,Patrick DiMarco,ATL,RB,27,16,8,0,0,0,0,0,0,0,,0,10,7,52,7.43,1,0,0,1,,,11,18.2,18.2,14.7,,112,,Patrick DiMarco,patrick dimarco,RB,RB,ATL,2016,374.0
382,Neal Sterling,JAX,WR,24,10,1,0,0,0,0,0,0,0,,0,16,12,110,9.17,0,0,0,0,,,11,23.0,26.0,17.0,,153,,Neal Sterling,neal sterling,WR,WR,JAX,2016,355.0
383,Lucky Whitehead,DAL,WR,24,15,1,0,0,0,0,0,10,82,8.2,0,3,3,48,16.0,0,3,1,0,,,11,14.0,15.0,12.5,,154,,Lucky Whitehead,lucky whitehead,WR,WR,DAL,2016,396.0
384,Jonathan Williams,BUF,RB,22,11,0,0,1,0,0,0,27,94,3.48,1,2,1,0,0.0,0,2,2,1,,,11,12.4,14.4,11.9,,111,,Jonathan Williams,jonathan williams,RB,RB,BUF,2016,410.0
385,Demarcus Ayers,PIT,WR,22,2,1,0,0,0,0,0,2,-12,-6.0,0,13,6,53,8.83,1,0,0,1,,,10,16.1,16.1,13.1,,155,,Demarcus Ayers,demarcus ayers,WR,WR,PIT,2016,385.0
386,Alan Cross,TAM,TE,23,14,0,0,0,0,0,0,0,0,,0,10,6,38,6.33,1,0,0,1,,,10,15.8,15.8,12.8,,72,,Alan Cross,alan cross,TE,TE,TAM,2016,386.0
387,Shaun Hill,MIN,QB,36,3,1,19,35,242,0,0,5,5,1.0,0,0,0,0,,0,0,0,0,,,10,10.2,10.2,10.2,,50,,Shaun Hill,shaun hill,QB,QB,MIN,2016,423.0
388,David Johnson,PIT,TE,29,16,5,0,0,0,0,0,0,0,,0,11,7,80,11.43,0,0,0,0,1.0,,10,17.0,17.0,13.5,,71,,David Johnson,david johnson,TE,TE,PIT,2016,378.0
389,Darren McFadden,DAL,RB,29,3,1,0,0,0,0,0,24,87,3.63,0,5,3,17,5.67,0,0,0,0,,,10,13.4,13.4,11.9,,113,,Darren McFadden,darren mcfadden,RB,RB,DAL,2016,400.0
390,Joshua Perkins,ATL,TE,23,8,1,0,0,0,0,0,0,0,,0,5,3,42,14.0,1,0,0,1,,,10,13.2,13.2,11.7,,70,,Joshua Perkins,joshua perkins,TE,TE,ATL,2016,403.0
391,Jeremy Ross,2TM,WR,28,6,1,0,0,0,0,0,0,0,,0,4,4,37,9.25,1,0,0,1,,,10,13.7,13.7,11.7,,157,,Jeremy Ross,jeremy ross,WR,WR,2TM,2016,398.0
392,Antone Smith,TAM,RB,31,3,0,0,0,0,0,0,10,47,4.7,0,9,6,77,12.83,0,2,1,0,,,10,16.4,17.4,13.4,,114,,Antone Smith,antone smith,RB,RB,TAM,2016,384.0
393,James Wright,CIN,WR,25,13,2,0,0,0,0,0,2,-6,-3.0,0,19,13,106,8.15,0,0,0,0,,,10,23.0,26.0,16.5,,156,,James Wright,james wright,WR,WR,CIN,2016,355.0
394,George Atkinson,CLE,RB,24,16,0,0,0,0,0,0,7,34,4.86,1,0,0,0,,0,1,0,1,,,9,9.4,9.4,9.4,,115,,George Atkinson,george atkinson,RB,RB,CLE,2016,427.0
395,Blake Bell,SFO,TE,25,13,0,0,0,0,0,0,0,0,,0,9,4,85,21.25,0,0,0,0,,,9,12.5,12.5,10.5,,75,,Blake Bell,blake bell,TE,TE,SFO,2016,409.0
396,Leonte Carroo,MIA,WR,22,14,2,0,0,0,0,0,0,0,,0,6,3,29,9.67,1,0,0,1,,,9,11.9,11.9,10.4,,160,,Leonte Carroo,leonte carroo,WR,WR,MIA,2016,413.0
397,Pharoh Cooper,LAR,WR,21,10,3,0,1,0,0,1,0,0,,0,20,14,106,7.57,0,0,0,0,,,9,22.6,26.6,16.6,,163,,Pharoh Cooper,pharoh cooper,WR,WR,LAR,2016,357.0
398,Gavin Escobar,DAL,TE,25,16,1,0,0,0,0,0,0,0,,0,7,4,30,7.5,1,0,0,1,,,9,13.0,13.0,11.0,,74,,Gavin Escobar,gavin escobar,TE,TE,DAL,2016,405.0
399,Mike Glennon,TAM,QB,27,2,0,10,11,75,1,0,0,0,,0,0,0,0,,0,0,0,0,,1.0,9,9.0,9.0,9.0,,53,,Mike Glennon,mike glennon,QB,QB,TAM,2016,431.0
400,T.J. Jones,DET,WR,24,3,0,0,0,0,0,0,0,0,,0,14,5,93,18.6,0,0,0,0,,,9,14.3,14.3,11.8,,158,,T.J. Jones,tj jones,WR,WR,DET,2016,393.0
