season,playerId,player,position,team,conference,category,statType,stat
2020,4362723,Gunnar Watson,QB,Troy,Sun Belt,fumbles,FUM,4
2020,4035721,Jackson Anthrop,WR,Purdue,Big Ten,defensive,TOT,1
2020,4361777,Zamir White,RB,Georgia,SEC,fumbles,LOST,0
2020,4360873,Chris Carter,TE,South Florida,American Athletic,receiving,TD,0
2020,4056052,Armani Rogers,QB,Ohio,Mid-American,passing,INT,0
2020,4370348,Corey Gammage,WR,Marshall,Conference USA,defensive,TOT,1
2020,4686373,Jordan Brown,WR,Kansas,Big 12,receiving,REC,1
2020,4039154,Jordan Myers,TE,Rice,Conference USA,rushing,CAR,9
2020,4040728,Trey Ragas,RB,Louisiana,Sun Belt,receiving,YDS,106
2020,4430325,Makai Polk,WR,California,Pac-12,receiving,TD,1
2020,4575668,Gavin Hardison,QB,UTEP,Conference USA,defensive,TD,0
2020,4372716,Nikko Remigio,WR,California,Pac-12,puntReturns,NO,7
2020,4612186,Conner Kinslow,TE,New Mexico,Mountain West,receiving,TD,1
2020,4430577,Rashod Owens,WR,Oklahoma State,Big 12,receiving,TD,0
2020,4685720,Bryce Young,QB,Alabama,SEC,fumbles,REC,0
2020,4426367,Austin Stogner,TE,Oklahoma,Big 12,receiving,TD,3
2020,4250360,Bailey Zappe,QB,Houston Christian,Southland,receiving,REC,1
2020,4383723,Jerreth Sterns,WR,Houston Christian,Southland,receiving,REC,37
2020,4032201,Kierre Crossley,RB,Central Arkansas,Southland,receiving,YDS,-4
2020,4360314,Lyn-J Dixon,RB,Clemson,ACC,rushing,YDS,190
2020,4043607,Xavier Gaines,TE,Marshall,Conference USA,receiving,REC,28
2020,4431066,Harlan Dixon,RB,Louisiana Tech,Conference USA,defensive,QB HUR,0
2020,4430834,Jalen McMillan,WR,Washington,Pac-12,receiving,TD,0
2020,4240600,Kadarius Toney,WR,Florida,SEC,defensive,TFL,0
2020,4241954,Matt Dotson,TE,Michigan State,Big Ten,receiving,REC,9
2020,4569473,Alec Kritta,WR,Iowa,Big Ten,receiving,YDS,12
2020,4362196,Leddie Brown,RB,West Virginia,Big 12,defensive,TFL,0
2020,4690966,Isaiah Jones,WR,Syracuse,ACC,defensive,TFL,0
2020,4362862,Josh Vann,WR,South Carolina,SEC,receiving,TD,1
2020,4430926,Brian Battie,RB,South Florida,American Athletic,kickReturns,YDS,118
2020,4040728,Trey Ragas,RB,Louisiana,Sun Belt,kickReturns,NO,4
