player,position,season,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Chance Key,TE,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,0,1,1.0,0,0,0,0,0.0
Chance Knox,WR,2022,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,46,48,2,466,9.7,2,7,0,9,4.5
Chance Knox,WR,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,40,35,0,369,10.5,10,16,0,47,4.7
Chance Knox,WR,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,5,9,0,18,2.0,1,0,0,-2,-2.0
Chance Lachapelle,RB,2018,0,0,0,0.0,0,0,0,1,1,0,1.0,0,2,2.0,0,0,0,0,0.0,4,7,0,16,4.0
Chance Lovertich,QB,2020,0,0,0,0.0,0,0,0,86,46,2,0.535,5,618,7.2,0,0,0,0,0.0,19,24,0,6,0.3
Chance Lovertich,QB,2021,0,0,0,0.0,0,0,0,18,13,0,0.722,1,179,9.9,0,0,0,0,0.0,3,7,0,10,3.3
Chance Lovertich,QB,2022,0,0,0,0.0,0,0,0,6,6,0,1.0,1,36,6.0,0,0,0,0,0.0,1,0,0,-7,-7.0
Chance Luper,WR,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,69,1,0,69,69.0,0,0,0,0,0.0
Chance Luper,WR,2021,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0.0,52,21,1,203,9.7,1,2,0,2,2.0
Chance McDonald,QB,2021,0,0,0,0.0,0,0,0,5,1,1,0.2,0,13,2.6,0,0,0,0,0.0,0,0,0,0,0.0
Chance McLeod,TE,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,13,3,0,13,4.3,0,0,0,0,0.0
Chance Miller,WR,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,19,2,1,28,14.0,0,0,0,0,0.0
Chance Miller,WR,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,28,5,0,87,17.4,0,0,0,0,0.0
Chance Morrow,WR,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,29,4,0,70,17.5,0,0,0,0,0.0
Chance Morrow,WR,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,30,4,0,59,14.8,0,0,0,0,0.0
Chance Newman,QB,2018,0,0,0,0.0,0,0,0,15,8,0,0.533,1,141,9.4,0,0,0,0,0.0,3,6,0,0,0.0
Chance Newman,QB,2019,0,0,0,0.0,0,0,0,6,2,1,0.333,0,9,1.5,0,0,0,0,0.0,2,3,0,5,2.5
Chance Newman,QB,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,6,1,0,6,6.0,8,8,2,17,2.1
Chance Newman,QB,2024,1,0,0,0.0,0,0,0,1,1,0,1.0,0,6,6.0,32,4,0,63,15.8,13,14,1,30,2.3
